epcho,loss,acc
1018,0.029062489,0.996875
1019,0.025059605,0.99375
1020,0.037085347,0.99375
1021,0.029782202,1.0
1022,0.02999205,1.0
1023,0.024538059,1.0
1024,0.030234102,0.99375
1025,0.031025466,1.0
1026,0.039960634,0.990625
1027,0.028407907,0.996875
1028,0.028943975,0.996875
1029,0.035137057,0.996875
1030,0.025362337,0.996875
1031,0.0404922,0.990625
1032,0.04187158,0.990625
1033,0.028106574,0.990625
1034,0.02811887,0.996875
1035,0.031494748,0.99375
1036,0.024660967,0.996875
1037,0.043039065,0.99375
1038,0.034527507,0.990625
1039,0.02781232,0.99375
1040,0.020847064,0.996875
1041,0.030484047,0.996875
1042,0.0401359,0.996875
1043,0.030055776,1.0
1044,0.023026904,0.99375
1045,0.03238115,0.990625
1046,0.03147166,0.990625
1047,0.032790445,0.996875
1048,0.031354137,0.996875
1049,0.032805454,0.99375
1050,0.017386442,1.0
1051,0.038196437,0.990625
1052,0.036596544,0.99375
1053,0.044452034,0.9875
1054,0.029704079,0.99375
1055,0.03930759,0.9875
1056,0.022126434,1.0
1057,0.029156953,0.996875
1058,0.041301027,0.9875
1059,0.03787406,0.996875
1060,0.02865071,0.99375
1061,0.019708812,1.0
1062,0.029304694,1.0
1063,0.03679239,0.99375
1064,0.031471346,0.99375
1065,0.05111475,0.975
1066,0.023897473,0.996875
1067,0.023255859,0.996875
1068,0.03209299,0.990625
1069,0.022340711,1.0
1070,0.023019502,1.0
1071,0.03208042,0.996875
1072,0.026674807,0.99375
1073,0.032721423,0.996875
1074,0.03514378,0.99375
1075,0.043541677,0.9875
1076,0.027156258,0.996875
1077,0.02405529,1.0
